name,beerme_link,city,state
Ashtown Brewing Company,http://beerme.com/brewery.php?11874,Longview,Washington
Aspen Brewing Company,http://beerme.com/brewery.php?10266,Aspen,Colorado
Ass Clown Brewing Company,http://beerme.com/brewery.php?12005,Cornelius,North Carolina
Ass Kisser Ales,http://beerme.com/brewery.php?11573,San Jose,California
Assets Grill & Brewing,http://beerme.com/brewery.php?149,Albuquerque,New Mexico
Astoria Brewing Company,http://beerme.com/brewery.php?5445,Astoria,Oregon
Athens Brewing,http://beerme.com/brewery.php?151,Athens,Georgia
Atlanta Beer Garden,http://beerme.com/brewery.php?3041,Newport News,Virginia
Atlanta Beer Garten,http://beerme.com/brewery.php?152,Atlanta,Georgia
Atlanta Brewing,http://beerme.com/brewery.php?153,Atlanta,Georgia
Atlantic Brewing,http://beerme.com/brewery.php?155,Bar Harbor,Maine
Atlantic Brewing,http://beerme.com/brewery.php?154,Island Park,New York
Atlantic City Brewing Company,http://beerme.com/brewery.php?156,Brigantine,New Jersey
Atlantic Coast Brewing,http://beerme.com/brewery.php?157,Waltham,Massachusetts
Atlantis Brewing,http://beerme.com/brewery.php?158,Denver,Colorado
Atlas Brew Works,http://beerme.com/brewery.php?13657,Washington,District of Columbia
Atom Brewing,http://beerme.com/brewery.php?13064,Erie,Colorado
Atomic Ale Brewpub and Eatery,http://beerme.com/brewery.php?5489,Richland,Washington
Atomic City Brewing,http://beerme.com/brewery.php?13224,Los Alamos,New Mexico
Atomic Moss Brewing,http://beerme.com/brewery.php?11693,Fort Worth,Texas
Atwater Brewery,http://beerme.com/brewery.php?159,Detroit,Michigan
Atwood Yacht Club,http://beerme.com/brewery.php?160,Sherrodsville,Ohio
Auburn Ale House,http://beerme.com/brewery.php?10051,Auburn,California
August Brewing Company,http://beerme.com/brewery.php?162,Detroit,Michigan
August Schell Brewing,http://beerme.com/brewery.php?165,New Ulm,Minnesota
Augusta Brewing,http://beerme.com/brewery.php?6568,Labadie,Missouri
Aussie Brew Pubs of America,http://beerme.com/brewery.php?167,Strongsville,Ohio
Austin Beer Garden Brewing Co.,http://beerme.com/brewery.php?13532,Austin,Texas
Austin Beerworks,http://beerme.com/brewery.php?11958,Austin,Texas
Automatic Brewing,http://beerme.com/brewery.php?11451,San Diego,California
Avalanche Brewing,http://beerme.com/brewery.php?6021,Midvale,Utah
Avalanche Cafe,http://beerme.com/brewery.php?12510,Silverton,Colorado
Avery Brewing,http://beerme.com/brewery.php?168,Boulder,Colorado
Aviator Ales,http://beerme.com/brewery.php?169,Woodinville,Washington
Aviator Brewing,http://beerme.com/brewery.php?10601,Fuquay-Varina,North Carolina
Avondale Brewing,http://beerme.com/brewery.php?11668,Birmingham,Alabama
Azalea Coast Brewery,http://beerme.com/brewery.php?9540,Wilmington,North Carolina
Aztec Brewery,http://beerme.com/brewery.php?11215,Vista,California
Überbrew,http://beerme.com/brewery.php?13396,Billings,Montana
B Squared Brewing,http://beerme.com/brewery.php?11753,Rocklin,California
B&O Station Brewery,http://beerme.com/brewery.php?6698,Youngstown,Ohio
B.O.B.'s House of Brews,http://beerme.com/brewery.php?460,Grand Rapids,Michigan
Babe's Bar-B-Que and Brewery,http://beerme.com/brewery.php?8456,Rancho Mirage,California
Babe's Brewpub,http://beerme.com/brewery.php?173,Des Moines,Iowa
Bacchus Brewing,http://beerme.com/brewery.php?6033,Saint Louis,Missouri
Bacchus Brewing,http://beerme.com/brewery.php?12916,Dryden,New York
Back Alley Brewing,http://beerme.com/brewery.php?175,Colorado Springs,Colorado
Back Bay Brewing,http://beerme.com/brewery.php?176,Boston,Massachusetts
Back East Brewing,http://beerme.com/brewery.php?11142,Bloomfield,Connecticut
Back Forty Beer Co.,http://beerme.com/brewery.php?11088,Gadsden,Alabama
Back Road Brewery,http://beerme.com/brewery.php?791,LaPorte,Indiana
Back Street Brewery,http://beerme.com/brewery.php?6034,Irvine,California
Back Street Brewery,http://beerme.com/brewery.php?7258,Ladera Ranch,California
Back Street Brewery — Vista,http://beerme.com/brewery.php?9541,Vista,California
Back Street Brewing,http://beerme.com/brewery.php?5600,Holland,Michigan
Back Yard Brewing Company,http://beerme.com/brewery.php?12604,Marysville,Washington
Backacre Beermakers,http://beerme.com/brewery.php?12806,Weston,Vermont
Backcountry Brewery,http://beerme.com/brewery.php?182,Frisco,Colorado
Backlash Beer Company,http://beerme.com/brewery.php?12403,Boston,Massachusetts
Backpocket Brewing Company,http://beerme.com/brewery.php?13536,Coralville,Iowa
Backstage Brewing,http://beerme.com/brewery.php?10935,Clemmons,North Carolina
Backwater Brewing,http://beerme.com/brewery.php?184,Winona,Minnesota
Backwoods Brewing,http://beerme.com/brewery.php?6024,Highland Park,New Jersey
Backwoods Brewing Company,http://beerme.com/brewery.php?13595,Carson,Washington
Backyard Brew Pub,http://beerme.com/brewery.php?12299,Las Vegas,Nevada
Bad Ass Brewery,http://beerme.com/brewery.php?11988,Albuquerque,New Mexico
Bad Bear Brewery,http://beerme.com/brewery.php?12850,Albion,Michigan
Bad Chemist Brewing Company,http://beerme.com/brewery.php?13606,Seattle,Washington
Bad Frog Brewery Company,http://beerme.com/brewery.php?186,Rose City,Michigan
Bad Jimmy's Brewery,http://beerme.com/brewery.php?11389,Seattle,Washington
Bad Weather Brewing,http://beerme.com/brewery.php?13394,Farmington,Minnesota
Baderbräu Brewing Company,http://beerme.com/brewery.php?13671,Chicago,Illinois
Badger Hill Brewery,http://beerme.com/brewery.php?13395,Minnetonka,Minnesota
Badger Mountain Brewing,http://beerme.com/brewery.php?13501,Wenatchee,Washington
Badlands Brewing,http://beerme.com/brewery.php?10991,Rapid City,South Dakota
BadWolf Brewing Company,http://beerme.com/brewery.php?13543,Manassas,Virginia
Bag and Kettle,http://beerme.com/brewery.php?9542,Carrabassett Valley,Maine
Bagby Beer,http://beerme.com/brewery.php?13682,Oceanside,California
Bainbridge Island Brewing Company,http://beerme.com/brewery.php?13594,Bainbridge Island,Washington
Baja Brewing,http://beerme.com/brewery.php?187,San Diego,California
"Bake, Broil & Brew",http://beerme.com/brewery.php?12998,San Antonio,Texas
Baked in Telluride,http://beerme.com/brewery.php?188,Telluride,Colorado
Balanced Rock Brewery,http://beerme.com/brewery.php?13468,Fort Atkinson,Wisconsin
Bald Brothers Brewing,http://beerme.com/brewery.php?13012,Girdwood,Alaska
Bale Breaker Brewing Company,http://beerme.com/brewery.php?13247,Yakima,Washington
Ballast Point Brewing,http://beerme.com/brewery.php?192,San Diego,California
Ballast Point Brewing — Main Brewery,http://beerme.com/brewery.php?9543,San Diego,California
Ballpark Brewing,http://beerme.com/brewery.php?193,Lake Forest,California
Ballyhoo Brewing,http://beerme.com/brewery.php?12029,Houston,Texas
Baltimore-Washington Beer Works,http://beerme.com/brewery.php?9244,Baltimore,Maryland
Bandana Brewery,http://beerme.com/brewery.php?4398,Mankato,Minnesota
Bandersnatch Brewpub,http://beerme.com/brewery.php?197,Tempe,Arizona
Bandon Brewing,http://beerme.com/brewery.php?198,Bandon,Oregon
Bandwagon Brew Pub,http://beerme.com/brewery.php?10766,Ithaca,New York
Bang Brewing Company,http://beerme.com/brewery.php?9213,Saint Paul,Minnesota
Banger Brewing,http://beerme.com/brewery.php?11766,Las Vegas,Nevada
Bank Beer Company,http://beerme.com/brewery.php?11749,Hendricks,Minnesota
Bank Brewing,http://beerme.com/brewery.php?201,Coos Bay,Oregon
Bank Draft Brewing,http://beerme.com/brewery.php?202,Houston,Texas
Bank Street Brewing,http://beerme.com/brewery.php?208,Stamford,Connecticut
BAR,http://beerme.com/brewery.php?1004,New Haven,Connecticut
Bar 3 Bar-B-Q and Outlaw Brewing,http://beerme.com/brewery.php?13028,Belgrade,Montana
Bar Harbor Brewing,http://beerme.com/brewery.php?218,Bar Harbor,Maine
Baranof Island Brewing Company,http://beerme.com/brewery.php?11509,Sitka,Alaska
Bard's Tale Beer Company,http://beerme.com/brewery.php?8883,Edina,Minnesota
Bardo Brewing,http://beerme.com/brewery.php?6403,Amissville,Virginia
Bardo Rodeo,http://beerme.com/brewery.php?213,Arlington,Virginia
Bare Bones Grill and Brewery #1,http://beerme.com/brewery.php?214,Ellicott City,Maryland
Bare Bones Grill and Brewery #2,http://beerme.com/brewery.php?7581,Stuart,Florida
Bare Bones Grill and Brewery #3,http://beerme.com/brewery.php?7582,Cockeysville,Maryland
Bare Hands Brewery,http://beerme.com/brewery.php?11970,Granger,Indiana
Barebottle Brewing,http://beerme.com/brewery.php?11911,Cincinnati,Ohio
Barhop Brewing,http://beerme.com/brewery.php?11686,Port Angeles,Washington
Barker Brew Company,http://beerme.com/brewery.php?6025,Fredonia,New York
Barker's Island Inn Resort & Conference Center,http://beerme.com/brewery.php?11127,Superior,Wisconsin
Barley & Vine Brewery,http://beerme.com/brewery.php?12323,Franklin,Wisconsin
Barley and Hopps,http://beerme.com/brewery.php?223,San Mateo,California
Barley and Hops Grill and Microbrewery,http://beerme.com/brewery.php?6026,Frederick,Maryland
Barley Boys Brewing,http://beerme.com/brewery.php?219,Omaha,Nebraska
Barley Brothers Brewery and Grill,http://beerme.com/brewery.php?220,Lake Havasu City,Arizona
Barley Brown's Brewpub,http://beerme.com/brewery.php?6027,Baker City,Oregon
Barley Creek Brewing,http://beerme.com/brewery.php?221,Tannersville,Pennsylvania
Barley Field Brewing Company,http://beerme.com/brewery.php?222,Tulsa,Oklahoma
Barley Forge Brewing,http://beerme.com/brewery.php?13021,Santa Monica,California
Barley Island Brewing,http://beerme.com/brewery.php?224,Noblesville,Indiana
Barley Island Brewing — Broad Ripple,http://beerme.com/brewery.php?9602,Indianapolis,Indiana
Barley John's Brewpub,http://beerme.com/brewery.php?6028,New Brighton,Minnesota
Barley Mow Brewing,http://beerme.com/brewery.php?12836,Largo,Florida
Barley's,http://beerme.com/brewery.php?226,Topeka,Kansas
Barley's Brewhouse and Eatery,http://beerme.com/brewery.php?227,Jackson,Tennessee
Barley's Brewing #1,http://beerme.com/brewery.php?228,Columbus,Ohio
Barley's Casino & Brewing Company,http://beerme.com/brewery.php?229,Henderson,Nevada
Barley's Smokehouse and Brewpub,http://beerme.com/brewery.php?5353,Columbus,Ohio
Barleycorn's Craft Brew (BOP),http://beerme.com/brewery.php?6661,Natick,Massachusetts
Barney's Brewery,http://beerme.com/brewery.php?230,Glendale,California
Barnhouse Brewery,http://beerme.com/brewery.php?12414,Lucketts,Virginia
Barnyard Brewing,http://beerme.com/brewery.php?10900,Lawrence,Kansas
Baron Brewing,http://beerme.com/brewery.php?8699,Seattle,Washington
Barrage Brewing,http://beerme.com/brewery.php?12007,Merrick,New York
Barrel Head Brewpub,http://beerme.com/brewery.php?13227,San Francisco,California
Barrel of Monks Brewing,http://beerme.com/brewery.php?13115,Boca Raton,Florida
BarrelHouse Brewing,http://beerme.com/brewery.php?13628,Paso Robles,California
BarrelHouse Brewing,http://beerme.com/brewery.php?232,Cincinnati,Ohio
Barrett's Brewpub and Eatery,http://beerme.com/brewery.php?233,Tuscaloosa,Alabama
Barrier Brewing,http://beerme.com/brewery.php?10955,Oceanside,New York
Barrington Brewery and Restaurant,http://beerme.com/brewery.php?234,Great Barrington,Massachusetts
Barrio Brewing Co.,http://beerme.com/brewery.php?10483,Tucson,Arizona
Barton Brewery,http://beerme.com/brewery.php?11296,New Braunfels,Texas
Barts,http://beerme.com/brewery.php?9382,Bay City,Michigan
Base Camp Brewing,http://beerme.com/brewery.php?12925,Portland,Oregon
Basement Brewing,http://beerme.com/brewery.php?11645,Walla Walla,Washington
